"Date","Price","Open","High","Low","Change %"
"Jul 13, 2020","8.6066","8.6588","8.6983","8.6023","-0.61%"
"Jul 10, 2020","8.6596","8.6502","8.6981","8.6164","0.17%"
"Jul 09, 2020","8.6447","8.6518","8.7006","8.6391","-0.02%"
"Jul 08, 2020","8.6460","8.6032","8.6676","8.5812","0.57%"
"Jul 07, 2020","8.5968","8.5706","8.6385","8.5456","0.36%"
"Jul 06, 2020","8.5663","8.5676","8.5963","8.5344","0.04%"
"Jul 03, 2020","8.5628","8.5416","8.5860","8.5173","0.31%"
"Jul 02, 2020","8.5362","8.5431","8.5918","8.5279","0.02%"
"Jul 01, 2020","8.5343","8.4978","8.5580","8.4638","0.48%"
"Jun 30, 2020","8.4933","8.4300","8.5038","8.3928","0.80%"
"Jun 29, 2020","8.4257","8.4543","8.4937","8.3963","-0.27%"
"Jun 26, 2020","8.4488","8.5143","8.5273","8.4285","-0.71%"
"Jun 25, 2020","8.5092","8.5146","8.5466","8.4845","-0.01%"
"Jun 24, 2020","8.5097","8.5772","8.5976","8.5069","-0.71%"
"Jun 23, 2020","8.5706","8.5378","8.5894","8.5101","0.46%"
"Jun 22, 2020","8.5312","8.4676","8.5454","8.4391","0.80%"
"Jun 19, 2020","8.4636","8.5196","8.5459","8.4433","-0.60%"
"Jun 18, 2020","8.5146","8.5947","8.6123","8.4911","-0.87%"
"Jun 17, 2020","8.5892","8.6048","8.6229","8.5630","-0.14%"
"Jun 16, 2020","8.6010","8.6175","8.6753","8.5883","-0.13%"
"Jun 15, 2020","8.6120","8.5367","8.6322","8.4817","0.84%"
"Jun 12, 2020","8.5405","8.6205","8.6444","8.5125","-0.89%"
"Jun 11, 2020","8.6176","8.6374","8.6641","8.5768","-0.17%"
"Jun 10, 2020","8.6319","8.6517","8.6965","8.6234","-0.15%"
"Jun 09, 2020","8.6452","8.6358","8.6743","8.5638","0.20%"
"Jun 08, 2020","8.6276","8.5850","8.6530","8.5619","0.70%"
"Jun 05, 2020","8.5678","8.5170","8.6401","8.4917","0.76%"
"Jun 04, 2020","8.5032","8.4799","8.5428","8.4212","0.32%"
"Jun 03, 2020","8.4763","8.4267","8.5224","8.3999","0.63%"
"Jun 02, 2020","8.4235","8.5136","8.5585","8.3825","-0.98%"
"Jun 01, 2020","8.5069","8.4158","8.5187","8.3954","1.08%"
"May 29, 2020","8.4164","8.3949","8.4780","8.3759","0.33%"
"May 28, 2020","8.3883","8.3055","8.4202","8.2909","1.15%"
"May 27, 2020","8.2931","8.2977","8.3731","8.2664","0.01%"
"May 26, 2020","8.2920","8.3012","8.3666","8.2563","-0.02%"
"May 25, 2020","8.2935","8.2997","8.3213","8.2767","0.05%"
"May 22, 2020","8.2893","8.3030","8.3250","8.2534","0.02%"
"May 21, 2020","8.2876","8.3122","8.3438","8.2674","-0.23%"
"May 20, 2020","8.3069","8.3045","8.3502","8.2842","0.10%"
"May 19, 2020","8.2982","8.3969","8.4364","8.2732","-1.12%"
"May 18, 2020","8.3918","8.3408","8.4183","8.2608","0.49%"
"May 15, 2020","8.3508","8.4600","8.4796","8.3420","-1.27%"
"May 14, 2020","8.4579","8.5309","8.5494","8.4223","-0.78%"
"May 13, 2020","8.5246","8.5792","8.6206","8.5135","-0.61%"
"May 12, 2020","8.5771","8.7320","8.7336","8.5720","-1.68%"
"May 11, 2020","8.7239","8.7948","8.8375","8.6913","-0.71%"
"May 08, 2020","8.7866","8.8019","8.9057","8.7319","-0.11%"
"May 07, 2020","8.7967","8.8813","9.0020","8.7155","-0.95%"
"May 06, 2020","8.8807","8.7980","8.9198","8.7865","0.99%"
"May 05, 2020","8.7934","8.7658","8.8483","8.7452","0.36%"
"May 04, 2020","8.7617","8.7690","8.7834","8.7037","-0.00%"
"May 01, 2020","8.7621","8.8022","8.8490","8.7504","-0.35%"
"Apr 30, 2020","8.7929","8.6678","8.8406","8.6376","1.51%"
